epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.83194,1.2317,2.37774,1.5974,0.61443,0.32184,0.42112,0.23924,1.08123,2.47142,1.47845,0.00036,0.00036,0.00036
2,15.2845,1.19332,1.73841,1.51434,0.66166,0.45977,0.51215,0.27406,1.38347,2.29553,1.8962,0.000721685,0.000721685,0.000721685
3,21.2684,1.21391,1.65295,1.55073,0.45529,0.43678,0.37389,0.18214,1.46422,2.61625,1.90734,0.00106456,0.00106456,0.00106456
4,27.5655,1.33713,1.74245,1.60809,0.61449,0.44828,0.46386,0.26797,1.39574,2.1367,1.91776,0.00138863,0.00138863,0.00138863
5,33.739,1.36909,1.68595,1.6076,0.41122,0.42529,0.33433,0.15486,1.57425,2.22609,1.96745,0.00169388,0.00169388,0.00169388
6,40.3275,1.31696,1.63682,1.57519,0.2916,0.42529,0.25792,0.12229,1.70087,2.61428,2.24983,0.0017525,0.0017525,0.0017525
7,46.2542,1.33674,1.58484,1.62342,0.37666,0.41674,0.32563,0.14136,1.90348,2.74267,2.40407,0.001703,0.001703,0.001703
8,52.0214,1.38537,1.59058,1.63597,0.1221,0.33908,0.08901,0.03589,1.9833,5.41237,2.26739,0.0016535,0.0016535,0.0016535
9,57.8505,1.31191,1.45532,1.55906,0.49361,0.52874,0.45976,0.26526,1.45228,2.43524,1.86259,0.001604,0.001604,0.001604
10,63.5183,1.28855,1.42603,1.55461,0.59141,0.39655,0.44923,0.2584,1.64598,1.85362,2.20685,0.0015545,0.0015545,0.0015545
11,69.1418,1.29273,1.40695,1.53928,0.55074,0.46552,0.45521,0.24674,1.67305,1.89956,2.07807,0.001505,0.001505,0.001505
12,75.1942,1.30176,1.42058,1.57201,0.77062,0.45402,0.52315,0.29685,1.54923,1.63581,2.34264,0.0014555,0.0014555,0.0014555
