epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.10374,1.20181,2.49827,1.48969,0.00523,0.9023,0.54108,0.37759,0.9,2.69571,1.32324,0.00036,0.00036,0.00036
2,8.23571,1.22583,1.95677,1.50356,1,0.04475,0.40623,0.22733,1.53218,2.83804,1.92836,0.000721685,0.000721685,0.000721685
3,11.6304,1.26515,1.82308,1.52164,0.63651,0.38506,0.46042,0.27213,1.29285,2.45228,1.79678,0.00106456,0.00106456,0.00106456
4,14.5671,1.38363,1.83881,1.59004,0.61886,0.46552,0.49935,0.29854,1.32339,2.20975,1.99621,0.00138863,0.00138863,0.00138863
5,17.5813,1.42397,1.79473,1.62149,0.21821,0.25287,0.16068,0.07166,2.59009,3.2652,3.58722,0.00169388,0.00169388,0.00169388
6,20.6304,1.37781,1.71715,1.60381,0.31926,0.22642,0.17599,0.06814,2.33104,3.24682,2.79649,0.0017525,0.0017525,0.0017525
7,23.7951,1.35962,1.64459,1.59316,0.11509,0.23563,0.08135,0.02955,2.18814,3.75022,2.8592,0.001703,0.001703,0.001703
8,27.1067,1.42012,1.67194,1.61812,0.46065,0.3908,0.35625,0.17833,1.60604,2.39413,2.22297,0.0016535,0.0016535,0.0016535
9,31.3069,1.3254,1.53036,1.52885,0.619,0.43886,0.45243,0.23225,1.63019,2.33713,2.083,0.001604,0.001604,0.001604
10,38.3724,1.32215,1.52025,1.53492,0.49225,0.55172,0.51841,0.291,1.47879,2.01737,1.92583,0.0015545,0.0015545,0.0015545
11,45.8291,1.32889,1.50445,1.543,0.71972,0.54603,0.57554,0.30901,1.48141,1.67721,1.89833,0.001505,0.001505,0.001505
12,53.6503,1.34271,1.47556,1.57449,0.62283,0.55747,0.57585,0.31088,1.59207,1.61355,1.8978,0.0014555,0.0014555,0.0014555
